spot,recommend,rank,satellite
成都蝴蝶馆,37,4.6,大熊猫基地内
成都武侯祠博物馆长滩湖基地,100,4.6,四川成都市武侯祠大街231号
圣达温泉酒店,32,4.4,成都市青羊区苏坡东路12号
常乐足道（红牌楼店）,23,4.5,成都市武侯区二环路西一段2号锦悦酒店一楼（红星美凯龙旁）
静惠山公园,50,4.3,成都市大邑县滨河路中段
NR CLUB真人探案馆,43,4.5,领事馆路12号棕北公寓1单元4楼6号
西江月,9,4.3,成都市青白江区祥福镇华家村12组
群光广场,68,4.7,成都市锦江区正科甲巷8号
唐昌镇,30,4.5,成都市郫县
沐青汤泉,7,4.9,成都市武侯区顺兴路369号金楠缤纷6号楼
竹文化陈列馆,22,4.0,成都市武侯区望江楼公园文物保护区内
成都常乐亚健康调养(财富又一城...,1,5.0,成都市成华区一环路府青路立交桥侧财富又一城5楼
天府花溪谷,117,4.4,成都市大邑县金星乡和平村
三国八阵图遗址,13,3.8,成都市青白江区弥牟镇民族商贸西街
和陵,9,4.2,成都市成华区蜀陵路磨盘山麓
绿舟公园,23,3.7,成都市青羊区 ‎
贵和高科农业公园,5,4.8,成都市青白江区城厢镇古城桥村
读竹苑,23,3.8,成都市武侯区望江楼公园文物保护区内
爱情斑马线,13,4.2,成都合江亭附近
成都老兵CS户外运动俱乐部(幸福...,22,4.5,幸福梅林滨湖东路蒲公英广场邻湖水庄旁
张家菊园农家乐,19,4.5,三圣乡东篱菊园内菊园路108号
乐山,25,4.4,中国西南，成都市平原南部乐山市
四季冰雪王国-国色天乡（五期）,13,3.9,成都市温江区万春镇天乡路二段89号
成都常乐亚健康调养(北城天街店),3,4.7,成都市金牛区五块石龙湖•北城天街5-22（北城派对KTV入口电梯上5楼）
阿斗井,37,4.4,武侯祠大街231号附1号锦里内
紫坪铺水库,15,4.5,成都市都江堰市麻溪乡紫坪铺紫坪村境内
百工堰顺湖真人CS基地,7,4.1,成都市龙泉驿区百工堰村
邛崃竹溪湖,48,4.1,成都市邛崃市西郊白鹤山一侧
都江堰青城山高尔夫俱乐部,11,4.3,成都都江堰市青城山脚下大观镇
薛涛墓,17,3.2,成都市武侯区望江楼公园文物保护区内
青城外山,37,4.0,成都市都江堰市大观镇
四川音乐学院,44,4.5,成都市武侯区新生路6号
魂·真人密室,15,4.2,春熙路京都大厦908
花园沟景区,5,4.2,成都市青白江区清泉镇花园村
奎光塔,19,4.6,成都市都江堰市奎光路
临邛古城,61,4.4,成都市邛崃市大北街
川军抗日阵亡将士纪念碑,74,4.5,祠堂街1号
岷江新濠温泉,72,4.8,成都市都江堰市都江堰大道388号
三昧水,14,4.3,成都市彭州市
仁康葡萄庄园,5,4.0,成都市青白江区姚渡镇光明村8组
盒子密室,28,4.6,成都市锦江区总府路王府井C座8楼
西来古镇,35,3.9,成都市蒲江县桥楼街
异次元密室逃脱旗舰店,30,4.5,成都市青羊区西大街1号新城市广场电影城3楼
古藤堡疯狂农庄,14,4.1,成都市新津县兴义镇古藤堡园区
云顶石城,28,4.4,成都市金堂县淮口镇
熊猫兵团VS巨型大黄鸭星期8广场...,12,4.3,成都温江区江宁南路888号（国色天乡陆地乐园对面）
三学寺,32,4.3,成都市金堂县
红杉谷,18,4.3,杜英路
石象寺,15,4.5,成都市蒲江县石象湖景区内
金桂园休闲山庄,23,4.6,三圣乡红砂村联合1组(三圣乡花乡农居、三圣乡花卉市场)
异次元密室逃脱新城市mini店,11,4.2,成都市青羊区西大街1号新城市广场D2栋13楼161室
九九勇士野战营（清水河公园CS基...,24,4.5,成都市西三环路三段武侯区清水河公园3号门游乐场旁
花水湾樱花柏栎度假酒店温泉,15,3.8,成都市大邑县花水湾温泉度假区
麦鲁小城（锦江店）,42,4.5,成都市锦江区东大路238号妇女儿童中心一楼
华希昆虫博物馆,22,4.5,成都市都江堰市青城山脚下
友爱镇农科村,24,4.3,成都市郫县迎宾路与IT大道交叉口
异次元密室逃脱春熙店,34,4.3,成都锦江区联升巷18号京都大厦13楼1309室（近伊藤洋华堂）
秘图-密室逃脱,20,4.7,成都市武侯区锦绣路1号保利中心东2栋511室
文君井公园,43,4.3,成都市邛崃市幸福路
清源际,25,4.4,三圣乡农居水杉路317号(近百度缘)
成都SS密室,37,4.4,成都市武侯区世纪商业广场4楼东方世纪影城内好又多楼上
无间密室(鹏瑞利店),15,4.7,光华大道一段鹏瑞利商场1号门负一楼地铁口旁
清婉室,16,3.8,成都市武侯区望江楼公园文物保护区内
平乐漂流,48,3.6,邛崃市平乐古镇骑龙街上段267、269号 （与上河郡相邻）。
太阳湾景区,44,4.0,成都市彭州市龙门山镇宝山村
"""宽窄堂会”川剧变脸秀",13,4.5,成都市青羊区窄巷子3号
三圣乡极地战狼真人cs,16,4.6,琉新路88号七彩田野内紧邻白鹭湾3号门和三圣乡花卉产业园(新)
樱桃山旅游景区,17,4.3,成都市蒲江县光明乡金花村
基督教上翔堂,22,4.5,上翔街20号
三和老爷车博物馆,29,4.5,成都市机场路新园南一路2号
成都市美术馆,53,4.5,四川省成都市支矶石街59号
环球明星蜡像馆,13,4.5,成都市高新南区天府大道北段1700号，环球中心负一层地铁商业B区
聚空间话剧剧场(东郊记忆),15,4.5,东郊记忆园区影立方2F
天宝温泉,25,4.6,成都市彭州市龙门山镇宝山村
邛崃回澜塔,40,4.1,成都邛崃市邛蒲路
繁华生态园,14,4.4,三圣乡红砂村联合4组(近三圣乡政府)
鲜多多草莓园,1,5.0,成都市新都区斑竹园镇雷家村13组（香城大道西段金马路口）
黄龙溪博物馆,40,3.6,成都市双流县黄龙溪古镇内
蔚然花海龙泉驿大庙会,4,2.0,成都市龙泉驿区同安街道花海路8号
宋代石刻长廊,26,4.6,锦里内
家园国际酒店温泉会所,12,4.6,成都市机场路181号
西部客家博物馆,17,4.5,洛带古镇博客小镇博客楼
府南河,15,4.6,红星路一段与华星路交叉口
世宇乐园,13,4.5,二环路东二段29号SM广场(近建设路)
梨花沟风景区,57,4.2,成都市金堂县栖贤乡集三路附近
国防乐园野战俱乐部,7,4.1,成都市高新区石羊场新园大道17号（石羊客运中心站旁）
彭州市图书馆,10,4.6,成都市彭州市金彭西路389号
HOUSE OFF牙尖帮真人密室逃脱温...,24,4.3,成都市温江区南熏大道三段878号海峡新城?爱琴海3栋三单元507室
四川电视塔,28,4.2,成都市成华区四川广播电视塔
锦里结义楼三国演出,21,4.2,成都市武侯区武侯祠大街231号锦里内
成都电子科技大学,86,4.6,中国四川省成都市成华区建设北路二段4号
线索真人密室逃脱俱乐部,19,4.2,成都市青羊区光华村街大地新光华广场A区3楼3号(近西南财大)
閒仙阁(茶&香),13,4.6,天和路69号9栋1102(皇城花卉)
雅文化园,24,4.6,大石东路
uknow真人密室逃脱俱乐部,23,4.5,成都锦江区九眼桥老马路鸿禧花园B座二单元6楼603室
天鹅湖公园,13,4.6,"大面镇社英路(驿都大道和成龙大道之间,绕城高速两旁(卧龙谷乡村高尔夫俱乐部)"
梅林轩农家乐(凌波小筑),17,4.6,幸福梅林幸福村1组22号(湖边游船旁)
正觉山庄,25,4.4,成都大学斜对面
青杠树村,2,5.0,成都市郫都区蜀源大道
精灵工厂儿童体验馆（国色天乡乐...,9,4.2,成都市温江区万春镇温江国色天香（乡）一期内西班牙馆
鸳鸯井,13,4.2,成都市都江堰市青城山彭祖峰东坡上的上清宫右侧
极速空间站,16,4.4,成都市金牛区西华大道16号华侨城广场
海滨城大马戏,3,5.0,成都市双流区双楠大道88号海滨城购物中心负三层B区
兴隆湖湿地公园,8,4.9,成都天府新区
江安河生态漂流,9,4.7,成都市温江区万春镇天乡路二段193-197号
乌木艺术博物馆,16,4.3,成都市都江堰市青城大道中兴段花木城
五龙沟,7,4.7,成都市都江堰市青城后山
郫县绿道,14,4.4,成都市郫都区迎宾路东200米
彭州白鹿上书院,13,4.5,彭州市白鹿镇的深山中
栓马石,57,4.5,成都市青羊区宽窄巷子
格林庄园,4,4.5,成都市大邑县苏家镇香林村8组
知春园真人CS,9,3.9,成都市锦江区三圣乡幸福梅林游客接待中心旁知春园农家乐
蜀国鹃都,12,4.1,成都市郫县郫筒镇街道办唐太路蜀国鹃都景区
陈公馆密室逃脱,25,5.0,成都市双流县西航港锦华路2段166号温资金港中心7楼702室
鹤鸣山道源圣城文化景区,9,3.7,成都市大邑县鹤鸣乡三丰村
幸福场秀丽东方,16,4.4,成都市锦江区幸福联合四组316号（秀丽东方景区内）
九龙沟漂流,68,4.4,成都市崇州市三郎镇欢喜村（近九龙沟风景名胜区）
黄龙溪潮音寺,9,4.1,成都市双流县黄龙溪镇正街57号
小渔洞大桥遗址,9,4.3,成都市彭州市彭白路
双泉水帘,8,4.4,成都市都江堰市青城后山飞泉沟
翠湖湾野外真人CS基地,2,4.5,成都市龙泉驿区公园路二段
八阵图密室逃脱,6,4.0,成都市锦江区二环路东五段29号万达锦华城8单元3004室
三星堆艺术馆,28,4.6,武侯祠大街238号
三圣乡白鹭湾湿地公园自助烧烤(...,17,4.1,三圣街道驸马社区联合三组89号(白鹭湾湿地公园)
桂溪生态公园,19,4.3,天府一街北50米
茶溪谷,49,4.5,成都市都江堰市向峨乡石碑村
五桂樱桃采摘节,11,4.4,清泉镇五桂村6组
薛涛像,20,3.8,成都市武侯区望江楼公园文物保护区内
光严禅院,6,4.5,成都市崇州市街子古镇凤栖山上
成都·东湖公园·红美术馆,1,4.0,成都市锦江区东湖公园西侧门
文轩美术馆,10,4.6,世纪城路198-190号
七彩田野,63,4.4,琉新路88号七彩田野(白鹭湾附近)
麦卡睿王国,1,5.0,成都青白江清泉镇福洪乡
三阶密室逃脱,15,4.6,成都市锦江区春熙路北口王府井百货C座15楼
梦幻水母馆,16,4.6,成都市天府大道南沿线南端2037号
西蜀第一街,16,4.8,武侯祠大街231号附1号锦里内
超级密室X-ROOM,21,4.3,成都市高新区锦城大道666号奥克斯广场4号门2楼
三溪白庙村,10,4.4,成都市金堂县三溪镇白庙村
成都精英团野外拓展训练俱乐部,9,4.6,成都市金牛区两河城市森林公园两河路B3栋（丹桂坊旁）
四川美术馆,56,4.4,人民西路20号
乐宝王国（海滨城店）,9,4.7,成都市双流县海滨城购物中心B座3楼
两河城市森林公园,10,4.4,土龙路99号
飞越丛林探险乐园（锦绣城园区）,1,5.0,成都市天府新区兴隆镇瓦窑村四组200号
荷塘月色小渔邨草莓采摘园,10,4.5,三圣乡荷塘月色B区黉柏路72号
青城两河漂流,37,4.0,成都市都江堰市大观镇滨江村3组
凤栖山,4,4.3,成都市崇州市天子山西面
青城湾湿地庄园,11,4.2,成都市都江堰市柳街镇金龙村
绿洲足球公园,12,4.4,剑南大道中段11(剑南大道与天府二街、三街交汇处)
蓝顶美术馆,16,4.4,三圣乡荷塘月色A区
花水湾叠香溪温泉,12,3.8,成都市大邑县花水湾度假小镇叠香溪温泉酒店
巴顿激战NERF真人CS,14,4.5,贝森路58号西村大院负一楼134-137号(文化宫)
蓝光水果侠主题世界,109,4.3,成都市都江堰市玉堂镇鑫玉大道130号（都汶高速路口）
大口潮边炉农家乐,14,4.4,幸福梅林锦江大道幸福路口(近美林湾)
黄龙溪蝴蝶迎新主题园,11,4.6,成都市双流县黄龙溪古镇主街三县衙门前院内真龙街69号
成都蓝顶艺术区,2,4.0,成都市双流县杨家湾蓝顶艺术区
红军长征纪念馆,6,4.7,成都市邛崃市
锦江绿道,17,4.4,锦江大道旁
T博士密室逃脱,11,4.7,成都锦江区红瓦寺街学府花园书香榭7A(川大学府影城楼旁)
同翔户外飞行基地,1,5.0,成都市安仁镇同翔飞行基地（金谷域澳洲庄园）
青白江凤凰湖,26,4.2,成都市青白江区广大路
紫霞山,14,4.5,同安街道御领大道
应天寺,9,4.2,成都市双流县胜利镇牧华路
迷屋密室Lost Room,15,4.6,春熙路大科甲巷43号京都大厦9楼(伊藤洋华堂正门口对面，中山广场)
金牛公园,11,4.2,茶店子西口(钉子路口)
X记忆真人密室逃脱旗舰店,20,4.1,成都市锦江区天府广场原钟楼旁圣瑞大酒店4楼(仁和春天对面)
平乐古镇风情园,26,4.1,成都邛崃市平乐镇
天国寺,3,3.0,成都市都江堰市大观镇麻岩村
好秾人有机农庄景区,6,4.0,成都市桃洪路西150米
辉耀实境真人密室,14,4.4,贝森北路一号西村大院3号楼208-2号
蛟龙港展示中心,16,4.3,成都市双流县南河路
诸葛庐,12,4.6,锦里内
子龙庙,14,4.5,成都市大邑县城东1公里银屏山下赵云墓前
柳街镇,10,3.9,成都市都江堰市柳街镇
九九勇士野战营（三圣乡天圆山庄...,5,4.6,成都市锦江区三圣花乡红砂村联合一组318（天圆山庄）
九九勇士野战营（三圣乡传化农业...,23,4.5,成都市锦江区三圣花乡红砂村联合一组325（传化农业基地）
白鹿森林公园,8,4.0,成都市彭州市白鹿镇
优植生活植物体验馆,11,4.9,成都市武侯区天益街78号融城理想13栋4单元102室
川剧艺术陈列馆,35,4.6,成都市锦江区华兴正街54号
郫县古城遗址,31,4.2,成都市郫都区古城镇
东部副中心市政景观公园,10,4.4,茶花街及百日红西路间(南三环路一段外)
瓮亭公园,18,4.2,成都市邛崃市学道街
异次元密室逃脱万达广场店,13,4.2,成都锦江区二环路东五段29号万达广场锦华城8单元2201
青城山睿宏酒店温泉,30,4.6,成都市江堰市青城山镇味江村8组
南宝山,5,4.8,成都邛崃市南宝山镇鸳鸯沱
烟霞湖,24,4.1,成都市大邑县青霞镇
沙河湿地公园,11,4.6,王贾桥(近沙河源控制塔)
大公园,46,4.4,四川省成都市青羊区成飞大道
矩阵密室逃脱,29,4.2,成都市青羊区西大街1号新城市广场D幢4楼402b
大逃脱家密室,5,4.2,成都市成华区建设路8号（近伊藤洋华堂，高地中心）
饮光画廊,8,4.5,奎星楼街55号明堂文化创意园区A座2楼
WM gallery艺术画廊,6,4.5,晶融汇购物中心二楼
爱尔城运动工场,35,4.1,成都市青羊区贝森北路西村大院负一楼
白塔湖,18,4.1,成都市崇州市道明镇西北白塔山
结庐会所,19,4.6,都江堰市幸福大道银杏广场内
古蜀皇茶茶文化生态体验园,11,3.6,成都邛崃市夹关镇韩坪村
邻里水乡养生理疗会所,8,4.8,成都市温江区万春镇江宁南路266号
青年城邦,4,4.3,成都市武侯区草金路29号（金双楠二期）青年城邦
泥邦陶瓷艺术博物馆,7,4.3,洛带古镇中街广场
众绿生态园,7,4.3,车城大道
文井江,2,5.0,成都市崇州市
太空嘉年华,5,4.8,成都市金牛区欢乐谷入口处左侧婚礼宫
望江楼古建筑群,28,4.5,望江路30号
奇乐无比室内主题儿童游乐园,12,4.3,益州大道中段722号复城国际
大源中央公园,17,4.4,高新区天府二街777号
踏浪水上乐园,9,4.3,成都市青白江区云石路福洪镇先锋村村委会对面
五凤山森林公园,30,4.0,成都市简阳市望水乡老鹰水库旁
张松银杏,21,4.9,成都市都江堰市公园路青城山都江堰风景名胜区内
三木源健康馆,2,5.0,成都市成华区建设路9号高地中心5楼
大风堂书画院,13,4.8,浣花南路112号
欧悦真冰场,14,4.9,成都市双流县蛟龙大道21号海滨城1楼A区
东坡公园,17,4.5,东坡路
水晶溶洞,9,4.4,成都市都江堰市青城后山泰安古镇
忘忧谷漂流,1,4.0,都江堰市青城山大观镇茶坪村。
宝贝江湖小镇,16,4.4,成都市双流区大件路白家段280号韩国城购物中心3号门
临邛古城景区,16,4.4,大北街(近翁亭公园)
5D动感体验馆东区音乐公园,24,4.2,成都建设南路东区音乐公园中央大道49号
安澜庄园,2,4.5,彭州市龙门山镇宝山村宝山温泉风景区入口800米处
怡湖园,10,4.6,青江西路(近旧花鸟鱼虫市场)
住户人家农家乐,13,4.4,幸福梅林滨湖西路
幻城真人密室逃脱俱乐部,20,4.3,成都市金牛区交大沃尔玛斜对面银河北街2号宏源新居6栋3单元601
海豚湾水上乐园,30,4.6,彭州市丽水镇黄龙村(陈家大院)。
川军抗战馆,7,4.7,成都市大邑县安仁古镇建川博物馆聚落内
高威体育公园,12,4.4,锦江大道(成都金港赛道旁)
简阳白塔园,53,3.6,简阳市区南郊
无间密室,9,4.7,武侯祠大街242号(吴铭火锅旁)
荒石公园(独立设计体验店),13,4.3,花牌坊街40号王家巷口无里创意园内庭广场一楼
成都智屋娱乐真人密室逃脱桌游吧,19,4.3,成都市锦江区正成财富ID一单元3101号
御垒山居酒店温泉,27,4.5,成都市都江堰市建设路413号
城市猎人真人CS(三圣乡店),6,4.5,三圣乡湿地路秀丽东方景区一号门
平沙落雁文化街,6,4.8,成都市邛崃市平乐古镇内
成都隋唐窑址博物馆,14,4.2,成都市青羊区青羊宫商圈成都隋唐窑址博物馆
象形书坊,6,3.5,成都市高新区中和大道二段中和二街66号军安卫士花园
萌宠乐园,8,4.0,熙悦广场1栋3楼
简朴寨土菜馆,7,4.7,青白江麻将街长河郡第一栋正对面(郡第一栋对面)
丹景山小火车,4,4.0,彭州市丹景山镇南安大道丹香苑附101（丹景山镇政府正对面）
东湖公园,19,4.4,二环路东五段99号(锦江与沙河交汇口北)
遗迹馆,18,4.5,成都市青羊区金沙遗址路2号
国色天乡童话世界疯狂大马戏,1,5.0,成都市温江区万春镇天乡路二段98号(国色天乡童话世界内)
四道风茶楼,11,4.5,蜀光路6号大西地商务酒店4楼
味江景区,11,4.4,四川省成都市崇州市街子古镇
童话森林亲子乐园,10,4.5,成都市凤鸣西路与江源北路交叉口东100米
中山广场,36,4.5,四川省成都市锦江区步行街
万里码头园区,15,4.6,南浦东路
黄龙溪廊桥,8,4.6,成都市双流县学府路10号
新引力蹦床运动俱乐部,8,4.4,成都市新都区蓉都大道北一段36号
ROOM ESCAPE真人密室逃脱成都站,16,4.3,成都青羊区新城市广场路口宁夏街209号810室
文君井,11,4.7,文君街76号
旅乐钓鱼村,11,4.5,天平村西河镇成洛路(近大运汽车有限公司)
街子陶巴巴家庭农场,11,4.5,高安路青城马业西北侧
孙中山先生铜像,12,4.3,春熙路北段
白鹤山,7,4.4,成都市邛崃市区西郊
古龙寺,7,4.4,成都市双流县黄龙溪镇皇金路78号黄龙溪古镇旅游景区内
和德儒艺术馆,5,4.6,天府大道北段1700号环球中心洲际酒店16F1-1-1408
大观艺术馆,7,4.3,天府大道环球中心E2-610
都江堰市高科技农业旅游园,20,4.3,成都市都江堰市崇义镇双土村
白水河自然保护区,6,4.5,成都市彭州市
黄忠文化广场,15,4.5,同友路
四川省锦城艺术宫,31,4.5,成都市人民东路61号
笙鑫休闲苑,6,4.5,大面镇洪河大道169号(大风车幼儿园旁)
灵岩寺,7,4.3,成都市都江堰市区北5公里幸福乡灵岩山七星岩下
梅园,12,4.5,蓝天路3号附5号旁
笑艺场相声社,9,4.2,望平街25号2楼天府古戏园(近香香巷)
飞翔家亲子乐园—航空主题儿童乐...,10,4.2,成都市武侯区府城大道中段88号九方购物中心三楼
锦江湿地公园,13,4.6,成都市锦江区三圣花乡A区
古琴台,14,4.6,琴台路
东方广场(鼓楼南街),40,4.5,鼓楼南街
芙蓉第,19,4.6,武侯祠大街231号附1号锦里内
岁月艺术馆,5,4.2,工业园区三色路38号博瑞•创意成都大厦B座2-3楼(近五冶大厦)
九龙沟山地卡丁车基地,5,4.2,三郎镇川环路魏家牌坊
北湖凝翠公园,7,4.9,沙河源东路(蓉北商贸大道)
武侯广场,10,4.6,二环路西一段2号
东篱翠湖公园,11,4.6,琉璃路大沙河桥西边
成都文庙,24,4.5,四川省成都青白江区境内
成都市城乡规划展览馆,26,4.7,四川省成都市青羊区人民中路一段15号(天府丽都喜来登饭店附近)
文宫庙,11,4.0,文庙前街93号
小公园,7,4.3,光华东三路
扬雄墓,7,4.1,成都市郫县西南11公里三元场友爱镇
花楸山,5,4.4,成都市邛崃市平乐古镇境内
鹤林禅院,5,4.4,成都市邛崃市白鹤乡鹤鸣村白鹤山麓
香槟广场,43,4.4,成都市锦江区红星路三段103号
善古堂,4,4.5,成都高新区铁像寺路88号3-3#(近高新区铁像寺水街)
子曰书院,8,4.4,三圣乡红砂村水杉路联合二组98号
文殊阁,10,4.4,文殊院内
安靖蜀绣公园,24,4.2,成都市郫县安靖镇
成都·洛阳牡丹园(三圣乡店),8,4.4,红砂联合二组304号
茶文化公园,8,4.5,育仁北路
Air Pang Pang韩国亲子嘉年华,14,4.9,成都市成彭高速彭州出口处（彭州南部新城中国成都国际时尚中心）
熊猫林,3,5.0,成都市大邑县西岭镇
天府锦绣梨园,1,2.0,双流区黄龙溪镇镇龙街22号
三岔湖国际垂钓露营基地,44,4.0,成都市简阳市简三路附近
way here,5,4.6,锦绣路1号保利中心东二栋512室
回龙沟,4,4.5,成都市彭州市龙门山国家地质公园内
镇江寺,4,4.5,成都市双流县黄龙溪镇正街91号
阳平观,4,4.5,成都市彭州市新兴镇阳平村彭白路
花田喜事,3,5.0,成都市温江区永宁镇花篱社区16组（温江区永宁镇葵花基地）
九眼桥码头遗址,19,4.3,九眼桥
梵木艺术馆,9,4.6,金象寺199号(近乐器厂)
时空门真人密室逃脱,8,4.6,成都市锦江区正成财富ID一单元3101号
白塔寺,10,4.4,银桦西路
九里堤公园,11,4.5,九里堤南路
飞越西部,7,4.4,欢乐谷园区内
摩天轮,7,4.7,成都欢乐谷欢乐时光区
九龙沟金漪楼农家乐(金漪楼农家...,4,4.3,三郎镇红纸村5组(九龙沟风景区旁)
成都国际会展中心,45,4.4,四川省成都金牛区沙湾路
梦想剧场,5,4.6,九兴大道137号
普照寺,15,4.5,成都市都江堰市大观镇青城外山
茶店子公园,12,4.6,育仁西路31号
陈家水碾,5,4.0,成都市双流县黄龙溪景区内
麓湖生态城,6,5.0,天府大道南延线一段旁
哆呐星球,5,3.8,成都市双流区白衣上街177号（城南国际优品道广场）
黄忠公园,11,4.5,蜀汉路黄忠公园
5D星空错觉艺术馆,3,3.3,锦江区小科甲巷1号第一城B座19楼（IFS熊猫对面，凯宾酒店入口）
火井古镇,2,5.0,成都市邛崃市西31公里处
NEVERLAND 梦幻岛游乐园,5,3.8,琉璃一街151号
lost密室逃脱体验馆,6,4.8,大石西路86号长乐坊2楼202号(宝岛眼镜旁)
西南石油大学,45,4.6,四川省成都市新都区新都大道8号
西村,17,4.1,成都市青羊区贝森北路1-5号
四川大学华西医学中心,42,4.3,四川省成都武侯区人民南路三段17号
天国山,3,4.3,成都市都江堰市两河乡
左脑密室,6,4.7,建设路钻石广场A座1817
虹都水岸酒店,10,4.1,成都市都江堰市虹口乡高原村虹都水岸酒店
农家果园,11,4.6,泡桐树街19号附5号
浣花夫人祠,27,4.3,成都市青羊区草堂路28号杜甫草堂内
诗书画院,8,4.9,百花潭路10号
碑廊,8,4.4,文殊院内
高堂寺,6,3.7,成都市大邑县敦义乡
不屈战俘馆,1,4.0,成都市大邑县安仁古镇建川博物馆聚落内
飞派飞行俱乐部,2,5.0,成都市双流区黄龙溪大河村
老地方茶铺,4,4.5,龙祥路2号附137
珍稀植物园,7,4.4,植物园内
冯家大院,7,4.6,九思巷3号(骡马市地铁站A出口)
X记忆真人密室逃脱mini店,8,4.3,成都市成华区建设路第五大道星美沙河影城6楼6号
东较场特色街区,9,4.1,东较场街38-12号
华侨城大剧院(纯水岸208区),9,4.1,西华大道16号
胡家大院,2,4.5,成都市新津县金华镇
银爵舞蹈工作室,10,4.9,武侯区新会展中心南门成达佳园活动中心3楼
芒城古城址,3,4.0,成都市都江堰市青城乡芒城村
湖广会馆,8,4.5,洛带镇下街迅峰旁
艺家国际画廊,7,4.7,天和西三街330号
散花楼,21,4.6,成都市青羊区锦里西路
千佛塔,5,3.6,成都市都江堰市幸福镇灵岩山南麓
润道茶社,5,4.2,光华西三路156号
仙山花谷,3,3.7,成都市彭州市葛仙山万年场仙山花谷
艺林关美术馆,7,5.0,琴台路135号
南站公园,9,4.1,成汉北路
张采芹故居,9,4.3,宽巷子35号
九又四分之三密室逃脱,11,4.8,春熙路王府井B座12楼12D号
川剧博物馆,10,4.5,慈惠堂街8号
丽都公园,11,4.4,丽都路1号(丽都公园内)
飞仙阁,3,3.7,成都市蒲江县
国学精品动物园,7,4.3,锦江大道大口潮火锅门口左边小路上来150米右拐
成华雕塑公园,10,4.3,双林中横路
